MT-ND6,YP_003024037,None
MTHFD2,NP_006627,NM_006636.4
BOLA3,NP_997717,NM_212552.3
BOLA3,NP_001030582,NM_001035505.2
MRPL53,NP_444278,NM_053050.5
HTRA2,NP_659540,NM_145074.2
HTRA2,NP_037379,NM_013247.5
MRPL19,NP_055578,NM_014763.4
PTCD3,NP_060422,NM_017952.6
MRPL35,NP_663619,NM_145644.3
MRPL35,NP_057706,NM_016622.4
FABP1,NP_001434,NM_001443.3
MRPS5,NP_114108,NM_031902.5
GPAT2,NP_997211,NM_207328.4
COX5B,NP_001853,NM_001862.3
LIPT1,NP_660200,NM_145199.3
LIPT1,NP_660199,NM_145198.3
LIPT1,NP_660198,NM_145197.3
LIPT1,NP_057013,NM_015929.4
LIPT1,NP_001191759,NM_001204830.2
MRPL30,NP_660213,NM_145212.4
MRPS9,NP_872578,NM_182640.3
BCL2L11,NP_001191039,NM_001204110.2
BCL2L11,NP_001191041,NM_001204112.2
BCL2L11,NP_001191040,NM_001204111.2
BCL2L11,NP_001191038,NM_001204109.2
BCL2L11,NP_619530,NM_138624.4
BCL2L11,NP_001191036,NM_001204107.1
BCL2L11,NP_619528,NM_138622.4
BCL2L11,NP_001191042,NM_001204113.1
BCL2L11,NP_001191035,NM_001204106.2
BCL2L11,NP_996885,NM_207002.3
BCL2L11,NP_619533,NM_138627.4
BCL2L11,NP_006529,NM_006538.5
BCL2L11,NP_001191037,NM_001204108.1
BCL2L11,NP_619531,NM_138625.4
BCL2L11,NP_619529,NM_138623.4
BCL2L11,NP_619532,NM_138626.4
BCL2L11,NP_996886,NM_207003.3
BCL2L11,NP_619527,NM_138621.5
CHCHD5,NP_115685,NM_032309.4
DBI,NP_001171514,NM_001178043.4
DBI,NP_001171513,NM_001178042.4
DBI,NP_001269562,NM_001282633.3
DBI,NP_065438,NM_020548.9
DBI,NP_001269565,NM_001282636.3
DBI,NP_001171512,NM_001178041.4
DBI,NP_001171488,NM_001178017.3
DBI,NP_001269563,NM_001282634.3
DBI,NP_001269564,NM_001282635.3
DBI,NP_001073332,NM_001079863.3
DBI,NP_001073331,NM_001079862.4
TMEM177,NP_085054,NM_030577.3
TMEM177,NP_001098669,NM_001105199.2
TMEM177,NP_001098668,NM_001105198.2
MMADHC,NP_056517,NM_015702.3
METTL5,NP_054887,NM_014168.4
SLC25A12,NP_003696,NM_003705.5
PDK1,NP_002601,NM_002610.5
PDK1,NP_001265478,NM_001278549.2
ATP5MC3,NP_001177258,NM_001190329.2
ATP5MC3,NP_001680,NM_001689.5
ATP5MC3,NP_001002258,NM_001002258.5
MTX2,NP_006545,NM_006554.5
OSGEPL1,NP_071748,NM_022353.3
COQ10B,NP_079423,NM_025147.5
HSPE1,NP_002148,NM_002157.3
